1742872752.729021647,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872752.928951143,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872753.138538930,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872753.348283884,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872753.529199051,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872753.730768602,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872753.940974227,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872754.145038800,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872754.340698259,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872754.529732204,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872754.771895976,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872754.928522228,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872755.131920086,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872755.332873882,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872755.528223297,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872755.737227329,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872755.927732286,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872756.140118721,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872756.329047040,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872756.528305446,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872756.751188513,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872756.934966371,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872757.145102703,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872757.346501337,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872757.561284667,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872757.756575665,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872757.950919405,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872758.139261968,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872758.340311932,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872758.528172075,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872758.746924106,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872758.939737458,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872759.128218147,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872759.354044447,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872759.528201890,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872759.727581881,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872759.938499845,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872760.140555401,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872760.328580503,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872760.534174797,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872760.731702189,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872760.958797125,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872761.144478124,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872761.328448525,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872761.538566900,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872761.728535935,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872761.939389358,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872762.134980566,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872762.331031404,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872762.681102721,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872762.749167260,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
